FIPS,RPL_THEMES
1001020100,0.2823
1001020200,0.5406
1001020300,0.5042
1001020400,0.2703
1001020501,0.3343
1001020502,0.1629
1001020503,0.3242
1001020600,0.4638
1001020700,0.8427
1001020801,0.2581
1001020803,0.8082
1001020804,0.2363
1001020805,0.1283
1001020901,0.3119
1001020902,0.3863
1001021000,0.5808
1001021100,0.9176
1003010100,0.5646
1003010200,0.5476
1003010300,0.613
1003010400,0.182
1003010500,0.4467
1003010600,0.9601
1003010704,0.1082
1003010706,0.154
1003010707,0.2201
1003010708,0.3934
1003010709,0.1319
1003010710,0.3516
1003010711,0.1653
1003010800,0.5926
1003010903,0.4646
1003010904,0.4094
1003010906,0.6834
1003010907,0.2427
1003010908,0.6333
1003011000,0.7669
1003011102,0.1081
1003011103,0.2299
1003011104,0.5854
1003011201,0.2038
1003011202,0.5635
1003011300,0.0977
1003011409,0.1887
1003011410,0.3109
1003011411,0.3702
1003011412,0.4039
1003011413,0.5378
1003011414,0.2134
1003011415,0.0318
1003011416,0.1579
1003011417,0.1997
1003011418,0.2618
1003011419,0.3391
1003011501,0.5362
1003011503,0.6963
1003011504,0.5492
1003011601,0.4564
1003011603,0.52
1003011604,0.2811
1005950100,0.7841
1005950200,0.8474
1005950300,0.6657
1005950400,0.8583
1005950500,0.6596
1005950600,0.8422
1005950700,0.897
1005950800,0.812
1005950900,0.9132
1007010001,0.5742
1007010005,0.6623
1007010006,0.6001
1007010007,0.256
1007010008,0.0936
1007010009,0.9498
1007010010,0.7217
1007010011,0.3755
1009050103,0.5894
1009050104,0.4894
1009050105,0.6921
1009050106,0.7935
1009050107,0.5361
1009050200,0.7368
1009050301,0.5577
1009050302,0.7338
1009050400,0.569
1009050501,0.6242
1009050502,0.1862
1009050601,0.4156
1009050603,0.0844
1009050604,0.4528
1009050701,0.508
1009050702,0.3924
1011952100,0.7769
1011952201,0.6294
1011952202,0.8946
1011952500,0.4526
1013952700,0.7849
1013952800,0.1799
1013952900,0.6448
1013953000,0.4248
1013953100,0.8797
1013953200,0.5495
1013953300,0.5441
1013953400,0.8386
1013953500,0.4826
1015000200,0.778
1015000300,0.8605
1015000400,0.9716
1015000500,0.7531
1015000600,0.9038
1015000700,0.9129
1015000800,0.9225
1015000900,0.307
1015001000,0.3051
1015001101,0.1728
1015001102,0.4802
1015001103,0.4323
1015001201,0.8787
1015001202,0.6988
1015001300,0.6531
1015001400,0.5678
1015001501,0.4375
1015001502,0.5901
1015001600,0.7039
1015001700,0.6531
1015001801,0.6023
1015001802,0.4417
1015002001,0.1347
1015002002,0.058
1015002101,0.7828
1015002102,0.1017
1015002104,0.75
1015002105,0.6533
1015002200,0.5079
1015002300,0.6453
1015002400,0.3531
1015002502,0.5877
1015002503,0.4129
1015002504,0.1014
1015002600,0.5912
1015981901,-999
1015981902,-999
1015981903,-999
1017953800,0.6038
1017953900,0.8758
1017954001,0.4845
1017954002,0.9431
1017954200,0.38
1017954300,0.6741
1017954600,0.7061
1017954700,0.5622
1017954800,0.8719
1019955701,0.442
1019955702,0.4707
1019955801,0.3508
1019955802,0.2317
1019955900,0.4464
1019956000,0.7267
1019956101,0.1373
1019956102,0.4193
1021060101,0.6622
1021060103,0.6367
1021060104,0.7491
1021060200,0.3341
1021060300,0.4249
1021060401,0.5856
1021060403,0.7617
1021060404,0.7818
1021060500,0.5104
1021060600,0.673
1021060701,0.5829
1021060702,0.396
1023956700,0.807
1023956800,0.65
1023956900,0.6187
1023957000,0.7011
1025957500,0.3277
1025957601,0.3757
1025957603,0.5778
1025957604,0.6378
1025957700,0.7411
1025957800,0.8619
1025957901,0.698
1025957902,0.8942
1025958003,0.8122
1027958900,0.6845
1027959000,0.8926
1027959100,0.2332
1027959200,0.4708
1029959500,0.5219
1029959600,0.77
1029959700,0.4906
1029959800,0.3473
1031010100,0.5503
1031010200,0.3297
1031010300,0.3732
1031010400,0.5145
1031010500,0.7859
1031010600,0.5038
1031010700,0.421
1031010800,0.2117
1031010900,0.7263
1031011000,0.8467
1031011100,0.6194
1031011203,0.2781
1031011204,0.0791
1031011205,0.5751
1031011206,0.7246
1031011300,0.9816
1033020100,0.7829
1033020200,0.7036
1033020300,0.6694
1033020400,0.0571
1033020500,0.7922
1033020600,0.4914
1033020703,0.4676
1033020704,0.3735
1033020705,0.0135
1033020706,0.2919
1033020801,0.2752
1033020802,0.4516
1033020901,0.4248
1033020902,0.6324
1033021000,0.6041
1035960200,0.455
1035960300,0.4785
1035960400,0.4824
1035960500,0.8402
1035960600,0.7288
1037961000,0.82
1037961100,0.2726
1037961200,0.4999
1039961600,0.4075
1039961700,0.3444
1039961800,0.82
1039961900,0.5403
1039962000,0.8622
1039962100,0.9346
1039962300,0.3288
1039962400,0.4112
1039962500,0.5542
1039962600,0.5805
1039962700,0.8103
1039962800,0.4432
1039962900,0.2294
1039963000,0.6492
1041963400,0.5676
1041963500,0.5625
1041963600,0.5947
1041963700,0.6812
1041963800,0.6213
1041963900,0.5969
1043964100,0.6146
1043964201,0.3074
1043964202,0.2675
1043964300,0.5102
1043964400,0.3875
1043964500,0.1931
1043964600,0.4419
