FID,ID,NAME,ST_ABBREV,TC_ID,Shape_Leng,OBJECTID,Total_A,Can_A,Grass_A,Soil_A,Water_A,Build_A,Road_A,Paved_A,Perv_A,Imperv_A,Can_P,Grass_P,Soil_P,Water_P,Build_P,Road_P,Paved_P,Perv_P,Imperv_P,OBJECTID_1,TC_ID_12,VALUE_0,TC_E_A,TC_Pv_A,TC_Land_A,TC_Pi_A,TC_P_A,TC_E_P,TC_Pv_P,TC_P_P,TC_Pi_P,Shape__Area,Shape__Length
1,25017342400,250173424.00,MA,1,1561.64307152,1,6927,1595,920,0,0,12,0,4400,2515,4412,23.0258409124,13.2813627833,0,0,0.173235166739,0,63.5195611376,36.3072036957,63.6927963043,1,1,112,1595,920,6927,4400,5320,23.0258409124,13.2813627833,76.8009239209,63.5195611376,7041.68823242188,1561.64307148569
2,25017350103,250173501.03,MA,2,3873.24532695,2,61575,608,5101,0,0,7248,24648,23970,5709,55866,0.987413723102,8.28420625254,0,0,11.7710109622,40.0292326431,38.928136419,9.27161997564,90.7283800244,2,2,763,608,5101,61575,23970,29071,0.987413723102,8.28420625254,47.2123426715,38.928136419,62339.3889160156,3873.24532691878
3,25017350104,250173501.04,MA,3,363.457910157,3,4885,0,0,0,0,0,4885,0,0,4885,0,0,0,0,0,100,0,0,100,3,3,2,0,0,4885,0,0,0,0,0,0,4886.5849609375,363.457910146947
4,25017351403,250173514.03,MA,4,1893.66474801,4,29691,4479,3125,0,0,6618,5995,9474,7604,22087,15.0853794079,10.5250749385,0,0,22.2895827018,20.1913037621,31.9086591897,25.6104543464,74.3895456536,4,4,29,4479,3125,29691,9474,12599,15.0853794079,10.5250749385,42.4337341282,31.9086591897,29708.6750488281,1893.66474799724
5,25017351404,250173514.04,MA,5,186.413186668,5,1487,0,0,0,0,0,1487,0,0,1487,0,0,0,0,0,100,0,0,100,5,5,14,0,0,1487,0,0,0,0,0,0,1499.3759765625,186.413186667344
6,25017351500,250173515.00,MA,6,4424.8624091,6,24167,1147,34,0,0,1561,13982,7443,1181,22986,4.74614143253,0.140687714652,0,0,6.45922125212,57.8557537137,30.798195887,4.88682914718,95.1131708528,6,6,140,1147,34,24167,7443,7477,4.74614143253,0.140687714652,30.9388836016,30.798195887,24299.9194335938,4424.86240908439
7,25017352101,250173521.01,MA,7,3641.94678092,7,35146,0,682,49,1,0,26948,7466,732,34414,0,1.94047686792,0.139418425994,0.00284527399989,0,76.6744437489,21.2428156832,2.08274056792,97.9172594321,7,7,182,0,682,35145,7515,8197,0,1.94053208138,23.323374591,21.3828425096,35344.4072265625,3641.9467809122
8,25017352102,250173521.02,MA,8,632.63131946,8,7014,409,429,0,0,5240,936,0,838,6176,5.83119475335,6.11633875107,0,0,74.7077274023,13.3447390932,0,11.9475335044,88.0524664956,8,8,220,409,429,7014,0,429,5.83119475335,6.11633875107,6.11633875107,0,7235.95922851563,632.631319441397
9,25017373100,250173731.00,MA,9,1200.02224814,9,19192,3495,6151,0,0,5181,2352,2013,9646,9546,18.210712797,32.0498124218,0,0,26.9956231763,12.2551062943,10.4887453105,50.2605252188,49.7394747812,9,9,228,3495,6151,19192,2013,8164,18.210712797,32.0498124218,42.5385577324,10.4887453105,19428.7960205078,1200.02224812206
10,25017373500,250173735.00,MA,10,5691.82172482,10,45693,22847,14086,0,0,2180,2831,3749,36933,8760,50.0010942595,30.8274790449,0,0,4.7709714836,6.19569737159,8.20475784037,80.8285733044,19.1714266956,10,10,86,22847,14086,45693,3749,17835,50.0010942595,30.8274790449,39.0322368853,8.20475784037,45778.9851074219,5691.82172481463
11,25017373600,250173736.00,MA,11,8004.81278506,11,93688,19302,1276,0,0,13,58594,14503,20578,73110,20.6024250704,1.36196738109,0,0,0.0138758432243,62.5416275297,15.4801041756,21.9643924515,78.0356075485,11,11,374,19302,1276,93688,14503,15779,20.6024250704,1.36196738109,16.8420715567,15.4801041756,94081.2886962891,8004.81278504837
12,25017373900,250173739.00,MA,12,209.383173338,12,792,0,0,0,0,0,0,792,0,792,0,0,0,0,0,0,100,0,100,12,12,18,0,0,792,792,792,0,0,100,100,807.397216796875,209.383173333049
13,25021400100,250214001.00,MA,13,7197.09948907,13,139269,30945,1786,0,3153,0,72274,31111,35884,103385,22.2195894277,1.28241029949,0,2.26396398337,0,51.8952530714,22.3387832181,25.7659637105,74.2340362895,13,13,265,30945,1786,136116,31111,32897,22.7342854624,1.31211613624,24.1683564019,22.8562402657,139507.802490234,7197.09948907444
14,25021400200,250214002.00,MA,14,4162.28037634,14,84105,6128,3322,0,0,2599,44437,27619,9450,74655,7.2861304322,3.94982462398,0,0,3.09018488794,52.835146543,32.8387135129,11.2359550562,88.7640449438,14,14,289,6128,3322,84105,27619,30941,7.2861304322,3.94982462398,36.7885381369,32.8387135129,84384.1335449219,4162.28037636986
15,25021400300,250214003.00,MA,15,4273.02346851,15,38088,5942,1126,0,0,5820,2500,22700,7068,31020,15.6007141357,2.95631169922,0,0,15.2804032766,6.56374711195,59.5988237765,18.5570258349,81.4429741651,15,15,48,5942,1126,38088,22700,23826,15.6007141357,2.95631169922,62.5551354757,59.5988237765,38143.2326660156,4273.02346849164
