9. TRIFD,10. FACILITY NAME,12. FACILITY CITY,13. FACILITY COUNTY,14. FACILITY STATE,15. FACILITY ZIP CODE,LATITUDE,LONGITUDE,81. CHEMICAL NAME,84. CLASSIFICATION,85. UNIT OF MEASURE,86. HAZARDOUS AIR POLLUTANT - HAPS,87. CARCINOGEN,88. PFAS_IND,89. METAL IND,118. TOTAL AIR EMISSIONS
02184WLLST205WO,WOLLASTON ALLOYS,BRAINTREE,NORFOLK,MA,2184,42.2222,-71.0361,Nickel,TRI,Pounds,YES,YES,NO,YES,21
02184WLLST205WO,WOLLASTON ALLOYS,BRAINTREE,NORFOLK,MA,2184,42.2222,-71.0361,Diisocyanates,TRI,Pounds,NO,NO,NO,NO,0
02184WLLST205WO,WOLLASTON ALLOYS,BRAINTREE,NORFOLK,MA,2184,42.2222,-71.0361,Copper,TRI,Pounds,NO,NO,NO,YES,4
02184WLLST205WO,WOLLASTON ALLOYS,BRAINTREE,NORFOLK,MA,2184,42.2222,-71.0361,Chromium,TRI,Pounds,YES,NO,NO,YES,12
01566BRLLCSTURB,PHOTONIS SCIENTIFIC INC,STURBRIDGE,WORCESTER,MA,1566,42.115406,-72.125698,Lead compounds,PBT,Pounds,YES,NO,NO,YES,0
0107WNKCRP7GAYL,E INK CORP,SOUTH HADLEY,HAMPSHIRE,MA,1075,42.217624,-72.597011,Toluene,TRI,Pounds,YES,NO,NO,NO,1035.48
01950HRCTN13MAL,HERO COATINGS INC.,NEWBURYPORT,ESSEX,MA,1950,42.80147,-70.89347,Toluene,TRI,Pounds,YES,NO,NO,NO,8315
01906GGRGT1831B,HOLCIM - NER INC.,SAUGUS,ESSEX,MA,1906,42.448437,-71.029902,"Benzo[g,h,i]perylene",PBT,Pounds,YES,NO,NO,NO,0
01906GGRGT1831B,HOLCIM - NER INC.,SAUGUS,ESSEX,MA,1906,42.448437,-71.029902,Polycyclic aromatic compounds,PBT,Pounds,YES,YES,NO,NO,5.2
02745RTHTC699TA,ROTHTEC ENGRAVING CORP,NEW BEDFORD,BRISTOL,MA,2745,41.67975,-70.94259,Nickel compounds,TRI,Pounds,YES,YES,NO,YES,960
02745RTHTC699TA,ROTHTEC ENGRAVING CORP,NEW BEDFORD,BRISTOL,MA,2745,41.67975,-70.94259,Lead compounds,PBT,Pounds,YES,NO,NO,YES,0
02032BYRCR333CO,SIEMENS HEALTHCARE DIAGNOSTICS,EAST WALPOLE,NORFOLK,MA,2032,42.14976,-71.20135,Methanol,TRI,Pounds,YES,NO,NO,NO,1380
02134HSTNC52CAM,HOUGHTON CHEMICAL CORP,ALLSTON,SUFFOLK,MA,2134,42.359689,-71.120022,Ethylene glycol,TRI,Pounds,YES,NO,NO,NO,0
