Year,"Country of Asylum","Country of Origin","Country of Asylum ISO","Country of Origin ISO","Population Type",Footnote
2022," "," ",,,OIP,"Other people in need of international protection refers to people who are outside their country or territory of origin, typically because they have been forcibly displaced across international borders, who have not been reported under other categories (asylum-seekers, refugees, people in refugee-like situations) but who likely need international protection, including protection against forced return, as well as access to basic services on a temporary or longer-term basis."
2022,Thailand," ",THA,,STA,"The total statelessness figure includes 573,898 stateless persons reported by the Royal Thai Government and registered with the national civil registration system by the end of 2022. The figure includes 321 stateless persons of Rohingya ethnicity from Myanmar who are also counted as others of concern to UNHCR."
2022,Kenya," ",KEN,,STA,"The figure is based on an estimate of 18,500 in 2019 by UNHCR with input from stateless communities, taking account of the registration by the Government of Kenya in 2020 of 1,670 stateless persons of Shona descent. These individuals were granted Kenyan citizenship in 2021."
2022," ",Ukraine,,UKR,REF,"Refugees includes people in refugee-like situations"
2022,Pakistan," ",PAK,,REF,"The 1.7 million refugees includes around 1,316,800 registered refugees, around 140,900 unregistered members of registered families who were being verified at the time of reporting and were recorded through the documentation renewal and information verification exercise (DRIVE) and around 286,100 Afghans who arrived in the country on or after 1 January 2021."
2022,Ukraine," ",UKR,,STA,"The numbers reported in Ukraine are an extrapolation of the 2001 census figure of persons who self-declared as not having a nationality. It includes 6,176 persons who are registered as stateless by the Ministry of the Interior of Ukraine."
2022,Ukraine," ",UKR,,"REF,ASY,IDP,STA,OOC,HST,OIP","UNHCR continues to report on the 2,534 refugees and 36,241 stateless people until their status and whereabouts can be ascertained. For asylum-seekers, end of year figures account also for those who confirmed their spontaneous departure to UNHCR from February 2022. The others of concern figure at end-2022 corresponds to the number of conflict-affected, non-displaced people assisted by UNHCR during the year."
2022,Mexico," ",MEX,,IDP,"The IDP figure can be found at CONAPO (2021) ""Diagnóstico nacional sobre la situación del desplazamiento forzado interno en México"" (https://www.gob.mx/cms/uploads/attachment/file/681782/Diagn_stico_nacional_sobre_la_situaci_n_del_desplazamiento_forzado_interno.pdf), where it is mentioned that 262,411 IDPs were displaced due to insecurity causes (pg18) and 24,376 IDPs due to disasters (pg 49). These calculations are based on 2020 Population and Housing Census carried out by INEGI."
2022,Montenegro," ",MNE,,STA,"In November 2017, jointly with the MoI and the MLSW, UNHCR carried out a field verification of all ex-Yugoslav refugees with unresolved status issues, including those at potential risk of statelessness. The field exercise covered 2,318 individuals (including 42% children) in 20 out of 23 municipalities. Based on the verification results, UNHCR reported on at least 145 persons at risk of statelessness and 460 in a statelessness like situation.  During 2022 their number decreased for 46 persons, however new 47 persons at risk of statelessness were identified through a formal statelessness determination procedure introduced in 2018, leading to the total number of 494 persons at risk of statelessness at the end of 2022. By the end of 2022, 9 more persons were recognized as stateless by the Ministry of Interior of Montenegro. Some 46 persons acquired nationality during the year."
2022,Philippines," ",PHL,,STA,"The updated figure is based on improved information concerning persons of Indonesian descent who have acquired nationality. The total statelessness figure reported also includes 11 stateless persons of Rohingya ethnicity who are also counted as refugee or asylum-seeker from Myanmar, mainly from Rakhine State."
