Year,"Country of Asylum","Country of Origin","Country of Asylum ISO","Country of Origin ISO",Refugees,Asylum-seekers,IDPs,"Other people in need of international protection","Stateless persons","Host community","Others of concern"
2022,Albania,Ukraine,ALB,UKR,2542,5,0,0,0,0,0
2022,Egypt,Ukraine,EGY,UKR,0,5,0,0,0,0,0
2022,Argentina,Ukraine,ARG,UKR,121,59,0,0,0,0,0
2022,Armenia,Ukraine,ARM,UKR,406,122,0,0,0,0,0
2022,Australia,Ukraine,AUS,UKR,1527,502,0,0,0,0,0
2022,Austria,Ukraine,AUT,UKR,89862,249,0,0,0,0,0
2022,Azerbaijan,Ukraine,AZE,UKR,4770,77,0,0,0,0,0
2022,Belgium,Ukraine,BEL,UKR,61975,685,0,0,0,0,0
2022,Belarus,Ukraine,BLR,UKR,19384,532,0,0,0,0,0
2022,"Bolivia (Plurinational State of)",Ukraine,BOL,UKR,5,0,0,0,0,0,0
2022,Brazil,Ukraine,BRA,UKR,43,65,0,0,0,0,0
2022,"Bosnia and Herzegovina",Ukraine,BIH,UKR,147,0,0,0,0,0,0
2022,Bulgaria,Ukraine,BGR,UKR,149215,16,0,0,0,0,0
2022,Canada,Ukraine,CAN,UKR,75098,196,0,0,0,0,0
2022,China,Ukraine,CHN,UKR,0,18,0,0,0,0,0
2022,Chile,Ukraine,CHL,UKR,46,53,0,0,0,0,0
2022,Colombia,Ukraine,COL,UKR,8,21,0,0,0,0,0
2022,"Costa Rica",Ukraine,CRI,UKR,13,40,0,0,0,0,0
2022,Cyprus,Ukraine,CYP,UKR,12472,94,0,0,0,0,0
2022,Czechia,Ukraine,CZE,UKR,433501,137,0,0,0,0,0
2022,Denmark,Ukraine,DNK,UKR,32839,867,0,0,0,0,0
2022,"Dominican Rep.",Ukraine,DOM,UKR,0,14,0,0,0,0,0
2022,Ecuador,Ukraine,ECU,UKR,79,5,0,0,0,0,0
2022,Estonia,Ukraine,EST,UKR,40298,518,0,0,0,0,0
